Distance [pm],  g(r),  Integral
2.000000000,  0.000000000,  0.000000000
6.000000000,  0.000000000,  0.000000000
10.00000000,  0.000000000,  0.000000000
14.00000000,  0.000000000,  0.000000000
18.00000000,  0.000000000,  0.000000000
22.00000000,  0.000000000,  0.000000000
26.00000000,  0.000000000,  0.000000000
30.00000000,  0.000000000,  0.000000000
34.00000000,  0.000000000,  0.000000000
38.00000000,  0.000000000,  0.000000000
42.00000000,  0.000000000,  0.000000000
46.00000000,  0.000000000,  0.000000000
50.00000000,  0.000000000,  0.000000000
54.00000000,  0.000000000,  0.000000000
58.00000000,  0.000000000,  0.000000000
62.00000000,  0.000000000,  0.000000000
66.00000000,  0.000000000,  0.000000000
70.00000000,  0.000000000,  0.000000000
74.00000000,  0.000000000,  0.000000000
78.00000000,  0.000000000,  0.000000000
82.00000000,  0.000000000,  0.000000000
86.00000000,  0.000000000,  0.000000000
90.00000000,  0.000000000,  0.000000000
94.00000000,  0.000000000,  0.000000000
98.00000000,  0.000000000,  0.000000000
102.0000000,  0.000000000,  0.000000000
106.0000000,  0.000000000,  0.000000000
110.0000000,  0.000000000,  0.000000000
114.0000000,  0.000000000,  0.000000000
118.0000000,  0.000000000,  0.000000000
122.0000000,  0.000000000,  0.000000000
126.0000000,  0.000000000,  0.000000000
130.0000000,  0.000000000,  0.000000000
134.0000000,  0.000000000,  0.000000000
138.0000000,  0.000000000,  0.000000000
142.0000000,  0.000000000,  0.000000000
146.0000000,  0.000000000,  0.000000000
150.0000000,  0.000000000,  0.000000000
154.0000000,  0.000000000,  0.000000000
158.0000000,  0.000000000,  0.000000000
162.0000000,  0.000000000,  0.000000000
166.0000000,  0.000000000,  0.000000000
170.0000000,  0.000000000,  0.000000000
174.0000000,  0.000000000,  0.000000000
178.0000000,  0.000000000,  0.000000000
182.0000000,  0.000000000,  0.000000000
186.0000000,  0.000000000,  0.000000000
190.0000000,  0.000000000,  0.000000000
194.0000000,  0.000000000,  0.000000000
198.0000000,  0.000000000,  0.000000000
202.0000000,  0.000000000,  0.000000000
206.0000000,  0.000000000,  0.000000000
210.0000000,  0.000000000,  0.000000000
214.0000000,  0.000000000,  0.000000000
218.0000000,  0.000000000,  0.000000000
222.0000000,  0.000000000,  0.000000000
226.0000000,  0.000000000,  0.000000000
230.0000000,  0.000000000,  0.000000000
234.0000000,  0.000000000,  0.000000000
238.0000000,  0.000000000,  0.000000000
242.0000000,  0.000000000,  0.000000000
246.0000000,  0.000000000,  0.000000000
250.0000000,  0.000000000,  0.000000000
254.0000000,  0.000000000,  0.000000000
258.0000000,  0.001039362862,  0.0001178282596
262.0000000,  0.001044858147,  0.0002399808015
266.0000000,  0.003591565440,  0.0006727829402
270.0000000,  0.01558046670,  0.002607199899
274.0000000,  0.03055789556,  0.006514407057
278.0000000,  0.04696319433,  0.01269583585
282.0000000,  0.09229939030,  0.02519665543
286.0000000,  0.1248918063,  0.04259497283
290.0000000,  0.1674241598,  0.06657530344
294.0000000,  0.2402626359,  0.1019442198
298.0000000,  0.2551990552,  0.1405411059
302.0000000,  0.2762615211,  0.1834527141
306.0000000,  0.3207818806,  0.2346082953
310.0000000,  0.3586267348,  0.2933039880
314.0000000,  0.3908932026,  0.3589423062
318.0000000,  0.3888323677,  0.4259086415
322.0000000,  0.3731964512,  0.4918091841
326.0000000,  0.3646192946,  0.5578047037
330.0000000,  0.3868170861,  0.6295466250
334.0000000,  0.3769636002,  0.7011661932
338.0000000,  0.3931288297,  0.7776566967
342.0000000,  0.4016437869,  0.8576645049
346.0000000,  0.3736461722,  0.9338463924
350.0000000,  0.3737534882,  1.011822262
354.0000000,  0.4107085703,  1.099477741
358.0000000,  0.4490605682,  1.197496602
362.0000000,  0.4180202657,  1.290790460
366.0000000,  0.4326386697,  1.389492467
370.0000000,  0.4542280641,  1.495397305
374.0000000,  0.4769502107,  1.609017242
378.0000000,  0.4933234750,  1.729064873
382.0000000,  0.5182612462,  1.857864197
386.0000000,  0.5620179832,  2.000478429
390.0000000,  0.5947270692,  2.154536652
394.0000000,  0.6462099450,  2.325382319
398.0000000,  0.6903633368,  2.511626055
402.0000000,  0.7657478131,  2.722379951
406.0000000,  0.8367654817,  2.957285618
410.0000000,  0.8866034444,  3.211110813
414.0000000,  0.9751714640,  3.495766066
418.0000000,  1.040839985,  3.805489455
422.0000000,  1.089392108,  4.135894397
