# Distance [pm];  g(r);  Integral
2.000000000;  0.000000000;  0.000000000
6.000000000;  0.000000000;  0.000000000
10.00000000;  0.000000000;  0.000000000
14.00000000;  0.000000000;  0.000000000
18.00000000;  0.000000000;  0.000000000
22.00000000;  0.000000000;  0.000000000
26.00000000;  0.000000000;  0.000000000
30.00000000;  0.000000000;  0.000000000
34.00000000;  0.000000000;  0.000000000
38.00000000;  0.000000000;  0.000000000
42.00000000;  0.000000000;  0.000000000
46.00000000;  0.000000000;  0.000000000
50.00000000;  0.000000000;  0.000000000
54.00000000;  0.000000000;  0.000000000
58.00000000;  0.000000000;  0.000000000
62.00000000;  0.000000000;  0.000000000
66.00000000;  0.000000000;  0.000000000
70.00000000;  0.000000000;  0.000000000
74.00000000;  0.000000000;  0.000000000
78.00000000;  0.000000000;  0.000000000
82.00000000;  0.000000000;  0.000000000
86.00000000;  0.000000000;  0.000000000
90.00000000;  0.000000000;  0.000000000
94.00000000;  0.000000000;  0.000000000
98.00000000;  0.000000000;  0.000000000
102.0000000;  0.000000000;  0.000000000
106.0000000;  0.000000000;  0.000000000
110.0000000;  0.000000000;  0.000000000
114.0000000;  0.000000000;  0.000000000
118.0000000;  0.000000000;  0.000000000
122.0000000;  0.000000000;  0.000000000
126.0000000;  0.000000000;  0.000000000
130.0000000;  0.000000000;  0.000000000
134.0000000;  0.000000000;  0.000000000
138.0000000;  0.000000000;  0.000000000
142.0000000;  0.000000000;  0.000000000
146.0000000;  0.000000000;  0.000000000
150.0000000;  0.000000000;  0.000000000
154.0000000;  0.000000000;  0.000000000
158.0000000;  0.000000000;  0.000000000
162.0000000;  0.000000000;  0.000000000
166.0000000;  0.000000000;  0.000000000
170.0000000;  0.000000000;  0.000000000
174.0000000;  0.000000000;  0.000000000
178.0000000;  0.000000000;  0.000000000
182.0000000;  0.000000000;  0.000000000
186.0000000;  0.000000000;  0.000000000
190.0000000;  0.000000000;  0.000000000
194.0000000;  0.000000000;  0.000000000
198.0000000;  0.000000000;  0.000000000
202.0000000;  0.000000000;  0.000000000
206.0000000;  0.000000000;  0.000000000
210.0000000;  0.000000000;  0.000000000
214.0000000;  0.000000000;  0.000000000
218.0000000;  0.000000000;  0.000000000
222.0000000;  0.000000000;  0.000000000
226.0000000;  0.000000000;  0.000000000
230.0000000;  0.000000000;  0.000000000
234.0000000;  0.000000000;  0.000000000
238.0000000;  0.000000000;  0.000000000
242.0000000;  0.000000000;  0.000000000
246.0000000;  0.000000000;  0.000000000
250.0000000;  0.000000000;  0.000000000
254.0000000;  0.000000000;  0.000000000
258.0000000;  0.000000000;  0.000000000
262.0000000;  0.0002943148069;  3.440783027E-05
266.0000000;  0.005613378483;  0.0007108488565
270.0000000;  0.01478578630;  0.002546601040
274.0000000;  0.03525287598;  0.007054119861
278.0000000;  0.06077203305;  0.01505310715
282.0000000;  0.1232127067;  0.03174075603
286.0000000;  0.1612919601;  0.05420987389
290.0000000;  0.2030234843;  0.08328913152
294.0000000;  0.2736426676;  0.1235719021
298.0000000;  0.2980569419;  0.1686507125
302.0000000;  0.3605890571;  0.2246608882
306.0000000;  0.3822839611;  0.2856243010
310.0000000;  0.4109458034;  0.3528829470
314.0000000;  0.4314280213;  0.4253278234
318.0000000;  0.4230032385;  0.4981792089
322.0000000;  0.3976030712;  0.5683895714
326.0000000;  0.3845500266;  0.6379925222
330.0000000;  0.4103936388;  0.7141071231
334.0000000;  0.3995512930;  0.7900181422
338.0000000;  0.4006742224;  0.8679767418
342.0000000;  0.4052822944;  0.9487093440
346.0000000;  0.4005571181;  1.030378045
350.0000000;  0.4142510696;  1.116802890
354.0000000;  0.4055548036;  1.203358426
358.0000000;  0.3889825681;  1.288263739
362.0000000;  0.4150104947;  1.380885876
366.0000000;  0.4243780896;  1.477703318
370.0000000;  0.4567810630;  1.584203396
374.0000000;  0.4975257740;  1.702724881
378.0000000;  0.4924946176;  1.822570814
382.0000000;  0.5274810366;  1.953661459
386.0000000;  0.5324908586;  2.088783069
390.0000000;  0.5677511915;  2.235853455
394.0000000;  0.6321050905;  2.402970065
398.0000000;  0.6837968013;  2.587442305
402.0000000;  0.7761201411;  2.801050938
406.0000000;  0.8440456812;  3.038000380
410.0000000;  0.9269250349;  3.303369220
414.0000000;  0.9984653309;  3.594824017
418.0000000;  1.075285027;  3.914797239
422.0000000;  1.126667525;  4.256507552
