#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
90,-23200.555351425675,2784.691737442337,-20415.86361398334,147.86800725453003,0
180,-23005.353508856962,2767.543814886142,-20237.80969397082,146.9574471724764,63.2
270,-22903.832103067733,2750.4300368440436,-20153.402066223687,146.04870017486232,64.6
360,-23060.146951207047,2826.2605275634487,-20233.8864236436,150.07532308649218,62.5
450,-23067.92175822478,2779.292269969138,-20288.629488255643,147.58129383316194,65.3
540,-22976.877000190158,2794.3913688234306,-20182.485631366726,148.3830607321344,67.4
630,-23008.738241021798,2812.7705244072395,-20195.96771661456,149.3589996752703,64.7
720,-22877.2217717304,2812.196211085976,-20065.025560644426,149.3285034572462,65.7
810,-22984.518857887684,2818.5011700827663,-20166.017687804917,149.66329876336263,66.2
900,-22760.96949391009,2815.7601208045344,-19945.209373105554,149.51774818442104,67.9
990,-22784.011934991067,2827.2014396594163,-19956.81049533165,150.1252858147761,69.6
1080,-22800.901960685398,2819.8285248070297,-19981.073435878367,149.7337817167746,70
1170,-22764.797158448782,2851.299214834802,-19913.49794361398,151.4048852571635,71.5
1260,-22915.140282889857,2826.97849519025,-20088.161787699606,150.1134473933305,72.4
1350,-22792.656378209766,2785.5773639417766,-20007.07901426799,147.91503430024687,73.6
1440,-22595.004621771208,2818.160235431187,-19776.84438634002,149.64519502611404,73.9
1530,-22606.02247701105,2806.6187665914686,-19799.40371041958,149.03233940005936,74.7
1620,-22503.016090928417,2800.344374858799,-19702.671716069617,148.69916722528345,75.8
1710,-22794.841828819786,2810.1315896450715,-19984.710239174714,149.21887140925443,76.6
1800,-22955.928293851874,2823.7548077981774,-20132.173486053696,149.94226857871772,76
1890,-22716.45712485355,2802.6295996344265,-19913.827525219123,148.82051337974548,76.7
1980,-22766.30404884534,2813.0954831318472,-19953.208565713492,149.3762550857711,77.4
2070,-22865.78885801899,2762.1087360869083,-20103.68012193208,146.6688427784934,78
2160,-22885.970198454816,2829.4332981163807,-20056.536900338433,150.24379820092935,77.3
2250,-22729.809411183945,2752.349915438406,-19977.45949574554,146.1506463321701,77.3
2340,-22833.716116817945,2768.4127560935613,-20065.303360724385,147.00358822393815,77.9
2430,-22997.76293516913,2792.2064792531364,-20205.55645591599,148.26704240863862,78.5
2520,-22968.261099539508,2808.5148977321505,-20159.746201807357,149.13302456010635,78.6
2610,-23019.110115226096,2826.3363329612903,-20192.773782264805,150.07934837696408,79.1
2700,-22790.898634224723,2757.4110471020977,-20033.487587122625,146.41939401562115,79.6
2790,-22940.77379134862,2826.1722647718116,-20114.601526576807,150.0706363044909,79.6
2880,-22945.38301312331,2814.3781284966685,-20131.004884626644,149.44436395813216,79.6
2970,-22779.222585701064,2785.1777067547787,-19994.044878946286,147.89381237789482,80
3060,-23052.714146823113,2792.7839686038096,-20259.930178219303,148.29770727482347,80.3
3150,-22730.63570875395,2748.464288718835,-19982.171420035116,145.94431833103718,80.7
3240,-22874.963342894014,2792.7327723629232,-20082.23057053109,148.2949887383273,80.5
3330,-23006.856470340135,2846.910809712003,-20159.94566062813,151.17185956465727,80.9
3420,-23019.178876000486,2808.191392072982,-20210.987483927503,149.1158463078375,81.2
3510,-22651.096136613676,2860.3253266042675,-19790.77081000941,151.8841746315175,81.6
3600,-22876.403870368304,2845.1384273803087,-20031.265442987995,151.0777455052959,81.5
3690,-23003.16690292074,2780.6481340669275,-20222.518768853814,147.65329064327642,81.9
3780,-22957.127006937226,2772.2512078067152,-20184.87579913051,147.20741121739027,81.5
3870,-22824.258509502266,2782.995335781571,-20041.263173720694,147.77792779269663,81.8
3960,-23002.248313209202,2863.7720258803774,-20138.476287328824,152.06719544732678,81.7
4050,-22843.22963623829,2797.338231156935,-20045.891405081355,148.53954004905475,82
4140,-22888.963576147347,2804.7692721630956,-20084.19430398425,148.93413066410676,82.2
4230,-22921.345269571437,2839.242133791475,-20082.103135779962,150.7646504608982,82.5
4320,-22915.765377204953,2829.0360538880277,-20086.729323316926,150.22270440744043,82.4
4410,-22791.40669787537,2839.645083566683,-19951.761614308685,150.7860472207199,82.6
4500,-23006.68912620924,2798.13681962166,-20208.55230658758,148.58194534774816,82.9
4590,-23052.751493082324,2823.7314601592675,-20229.020032923057,149.94102881174697,83.1
4680,-22754.420553366566,2804.3669858754406,-19950.053567491126,148.9127691356828,83.1
4770,-22576.453993651594,2810.336100578,-19766.117893073595,149.22973100412713,83.3
4860,-22836.455459185236,2807.5972572823393,-20028.858201902898,149.08429756355403,83.1
4950,-22947.472190643224,2804.251265837669,-20143.220924805555,148.9066243652744,83.1
5040,-22769.36228626489,2790.5866943310325,-19978.77559193386,148.18103131972993,83
5130,-22695.460473772342,2825.183043724278,-19870.277430048063,150.01810835568196,83.3
5220,-22592.321049549122,2795.5701317269095,-19796.750917822214,148.4456534131193,83.5
5310,-22882.023226666905,2793.2269744402515,-20088.796252226653,148.32123102409741,83.6
5400,-22881.960676690185,2807.554636830227,-20074.406039859958,149.08203440413948,83.5
5490,-22796.76525302761,2813.937619349699,-19982.82763367791,149.42097278385464,83.7
5580,-22650.800153390912,2808.326177566546,-19842.473975824367,149.12300345994598,83.9
5670,-22836.620609855643,2806.369864616196,-20030.250745239446,149.0191226268739,84.1
5760,-22914.02113843526,2786.7663813642757,-20127.254757070983,147.97817149941753,84
5850,-23004.32065831311,2819.552013195043,-20184.768645118067,149.71909886319423,83.9
5940,-22877.454558189216,2766.06807125946,-20111.386486929758,146.87908472166652,83.9
6030,-23067.140030595096,2768.197917943676,-20298.94211265142,146.9921802505964,84
6120,-22879.23493318897,2758.296367298605,-20120.938565890367,146.46640479655593,84
6210,-22829.0520609018,2828.256540219799,-20000.795520682,150.18131198644141,84.1
6300,-22964.20373133148,2808.7523360362084,-20155.45139529527,149.14563260874414,84.2
6390,-22845.909915744778,2777.8028711156,-20068.107044629178,147.50220628551037,84.4
6480,-22984.93618212035,2820.783314767309,-20164.15286735304,149.78448136401911,84.3
6570,-22838.178675786505,2783.0360076833963,-20055.142668103108,147.78008748347793,84.5
6660,-22872.26785864521,2804.5322700477855,-20067.735588597425,148.9215457772287,84.6
6750,-23057.69544499625,2822.1925868217004,-20235.50285817455,149.85931415343,84.8
6840,-23001.09613123242,2809.354532778997,-20191.741598453424,149.17760944522269,84.6
6930,-22804.878152880236,2805.371044012366,-19999.50710886787,148.96608493860583,84.7
7020,-22536.192163553336,2787.080437682005,-19749.11172587133,147.99484798868346,84.8
7110,-22994.18591994539,2756.3991012574666,-20237.786818687924,146.3656593729377,84.8
7200,-22968.237247740355,2783.1570336351388,-20185.080214105215,147.7865139995873,84.7
7290,-22893.30998597665,2835.8655680838137,-20057.44441789284,150.58535375963584,84.8
7380,-22867.125316278427,2794.549396605281,-20072.575919673145,148.39145205706234,84.9
7470,-22773.994321238773,2771.0931256512768,-20002.901195587496,147.14591669063196,85
7560,-22853.565914221414,2817.273675053795,-20036.29223916762,149.5981183911842,84.9
7650,-22720.925444609966,2783.2415794380104,-19937.683865171955,147.79100340831585,85.1
7740,-22877.334662070483,2799.7796089641533,-20077.55505310633,148.66917797861618,85.2
7830,-22845.778385409823,2799.628200352855,-20046.15018505697,148.66113813372675,85.3
7920,-22898.820796470376,2811.424523182281,-20087.396273288094,149.28752658680574,85.1
