#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
180,-22708.121398178846,5577.767193243629,-17130.354204935218,296.1811925912346,0
360,-22901.128145280818,5750.336034628049,-17150.79211065277,305.3446523547107,63.5
540,-22854.513620374753,5650.993311608071,-17203.52030876668,300.06952251154365,65.9
720,-22731.439098109055,5705.210528705005,-17026.228569404047,302.9484737948097,64.6
900,-22768.209474321455,5715.865168767052,-17052.344305554405,303.5142385337952,67.2
1080,-22652.207858859852,5683.787781963919,-16968.420076895934,301.81091920378253,69.7
1260,-22672.839544528004,5577.962029591971,-17094.877514936034,296.19153846262236,70.8
1440,-22865.447840213223,5805.866942110515,-17059.580898102708,308.29336101070356,71.3
1620,-22887.603042495088,5821.855176729276,-17065.747865765814,309.14234129846983,72.9
1800,-22879.362957830774,5712.587580943026,-17166.77537688775,303.3401975892899,74.2
1980,-22521.71159497436,5347.237858987445,-17174.473735986914,283.9400124233054,75.3
2160,-22760.131900711174,5623.90149600691,-17136.230404704263,298.6309385806952,75.1
2340,-22812.74924881135,5754.519167225653,-17058.230081585694,305.56677801155536,76
2520,-22636.71693133199,5709.2694675806,-16927.447463751392,303.1640047259472,76.7
2700,-22515.451760610507,5613.6434217742035,-16901.808338836305,298.0862316119977,77.3
2880,-22435.65997628811,5577.957584832472,-16857.702391455638,296.1913024444948,76.8
3060,-22568.177525157822,5695.939509765294,-16872.238015392526,302.45617977267375,77.4
3240,-22567.019438807984,5583.256043198354,-16983.76339560963,296.4726522504893,77.8
3420,-22704.070513333805,5665.597062712326,-17038.47345062148,300.84498628916475,78.3
3600,-22646.415940477018,5556.877349144208,-17089.53859133281,295.0719352981181,78
3780,-22768.742576540506,5634.129349213763,-17134.613227326743,299.17404080341316,78.4
3960,-22662.897433861246,5517.081708334698,-17145.815725526547,292.9587742523918,78.8
4140,-22771.441753324136,5628.800158699927,-17142.64159462421,298.8910591106947,79.1
4320,-22621.985120745376,5486.230183365134,-17135.754937380243,291.3205485713679,78.9
4500,-22736.09388919003,5636.178671715322,-17099.915217474707,299.28286047291306,79.3
4680,-22785.774943618497,5666.025573325743,-17119.749370292753,300.86774033753625,79.5
4860,-22580.577901619763,5441.1645679769945,-17139.41333364277,288.9275502177104,79.8
5040,-22593.348765977513,5529.410315386653,-17063.93845059086,293.6134271651307,78.7
5220,-22924.1299697449,5789.966113882897,-17134.163855862003,307.4490220298029,79
5400,-22933.703973230702,5804.0071499991445,-17129.696823231556,308.1946054645444,79.2
5580,-22760.594781186723,5664.113406966231,-17096.481374220493,300.76620370232513,79.4
