,lambda_vdw,f,df,delta_g,error(delta_g)
0,0.0,0.0,0.0,0.0,0.0
1,0.0001,0.22638469117840998,0.004821160711605881,0.13412968131920722,0.0028564685468363076
2,0.001,0.2947636213468968,0.005460153880084581,0.17464321633213548,0.003235062830783068
3,0.01,0.3719306464203901,0.006116760405747241,0.2203635714832793,0.0036240927761420393
4,0.05,0.4538828590307348,0.006832726289226054,0.26891908159136635,0.004048292289309457
5,0.1,0.5314197753244266,0.007429737541622104,0.3148585919832191,0.004402012890340539
6,0.2,0.7003978137612602,0.008665019645240623,0.4149756552329392,0.005133899812707988
7,0.3,0.9090633870676257,0.010254977298145269,0.5386070134497164,0.006075926909085577
8,0.4,1.1670678114724644,0.012301350782812586,0.691470933020559,0.007288373837054705
9,0.5,1.479902071918141,0.014946239131295063,0.876820743738282,0.008855432234246677
10,0.6,1.8570971286816997,0.018530203263550753,1.1003034028152814,0.010978879559313728
11,0.7,2.3058642507293152,0.023499564763390435,1.3661914836455675,0.01392315494676979
12,0.8,2.809108865362281,0.029851540392055176,1.6643566971808383,0.017686609367584556
13,0.9,3.3566590046851985,0.03663914197369024,1.9887722983921035,0.021708165915102922
14,1.0,3.97323221872941,0.0440257278252212,2.354083081021545,0.026084612048211855
