# Angle (degree),  Occurrence
70.25000000,  0.000000000
70.75000000,  0.000000000
71.25000000,  0.000000000
71.75000000,  0.000000000
72.25000000,  0.000000000
72.75000000,  0.000000000
73.25000000,  0.000000000
73.75000000,  0.000000000
74.25000000,  0.000000000
74.75000000,  0.000000000
75.25000000,  0.000000000
75.75000000,  0.000000000
76.25000000,  0.000000000
76.75000000,  0.000000000
77.25000000,  0.000000000
77.75000000,  0.000000000
78.25000000,  0.000000000
78.75000000,  0.0001155919371
79.25000000,  0.002696706149
79.75000000,  0.0005329582646
80.25000000,  0.002279339821
80.75000000,  0.000000000
81.25000000,  0.000000000
81.75000000,  0.0001386084115
82.25000000,  0.005673314127
82.75000000,  0.006641761770
83.25000000,  0.007728450908
83.75000000,  0.009190820465
84.25000000,  0.02667563052
84.75000000,  0.04697247019
85.25000000,  0.06187893758
85.75000000,  0.08468499406
86.25000000,  0.1238032146
86.75000000,  0.1986724031
87.25000000,  0.2632319338
87.75000000,  0.4185524580
88.25000000,  0.5716380846
88.75000000,  0.7427854221
89.25000000,  1.160229256
89.75000000,  1.478943029
90.25000000,  2.078942701
90.75000000,  2.725392690
91.25000000,  3.798445342
91.75000000,  4.947099395
92.25000000,  6.826772202
92.75000000,  8.980506029
93.25000000,  11.37842149
93.75000000,  14.83994940
94.25000000,  18.63384356
94.75000000,  23.84786561
95.25000000,  29.61107990
95.75000000,  36.83344527
96.25000000,  45.19611731
96.75000000,  55.62657777
97.25000000,  67.17449403
97.75000000,  79.63848603
98.25000000,  94.88658669
98.75000000,  112.3366142
99.25000000,  129.5547286
99.75000000,  148.6145536
100.2500000,  170.6615391
100.7500000,  193.2145716
101.2500000,  217.7937564
101.7500000,  243.4376718
102.2500000,  268.9765023
102.7500000,  294.8146411
103.2500000,  320.9702684
103.7500000,  345.1724080
104.2500000,  367.5384484
104.7500000,  389.4882650
105.2500000,  408.6941169
105.7500000,  423.0921004
106.2500000,  435.4711198
106.7500000,  444.4350809
107.2500000,  451.4680946
107.7500000,  453.0586349
108.2500000,  448.2706509
108.7500000,  441.2709578
109.2500000,  431.1720641
109.7500000,  415.8939090
110.2500000,  398.4788589
110.7500000,  379.3655094
111.2500000,  358.1368231
111.7500000,  334.8904351
112.2500000,  309.3426293
112.7500000,  283.8056789
113.2500000,  258.0250125
113.7500000,  232.7640694
114.2500000,  207.9805270
114.7500000,  183.1016549
115.2500000,  160.8941506
115.7500000,  140.1448098
116.2500000,  120.6733332
116.7500000,  103.4773649
117.2500000,  87.21454948
117.7500000,  73.42486928
118.2500000,  60.83766365
118.7500000,  49.57218273
119.2500000,  40.77974424
119.7500000,  32.92990220
120.2500000,  26.43511215
120.7500000,  20.98973672
121.2500000,  16.57283481
121.7500000,  12.90984472
122.2500000,  10.09369069
122.7500000,  7.675247791
123.2500000,  5.946801236
123.7500000,  4.478784288
124.2500000,  3.140886014
124.7500000,  2.394373602
125.2500000,  1.661182015
125.7500000,  1.294512012
126.2500000,  0.9188007492
126.7500000,  0.6615218283
127.2500000,  0.4958443383
127.7500000,  0.3237772055
128.2500000,  0.2180700238
128.7500000,  0.1337152098
129.2500000,  0.1227211161
129.7500000,  0.05498632788
