# Distance [pm],  g(r),  Integral
80.16666667,  0.000000000,  0.000000000
80.50000000,  0.000000000,  0.000000000
80.83333333,  0.000000000,  0.000000000
81.16666667,  0.000000000,  0.000000000
81.50000000,  0.000000000,  0.000000000
81.83333333,  0.000000000,  0.000000000
82.16666667,  0.000000000,  0.000000000
82.50000000,  0.000000000,  0.000000000
82.83333333,  0.000000000,  0.000000000
83.16666667,  0.000000000,  0.000000000
83.50000000,  0.000000000,  0.000000000
83.83333333,  0.000000000,  0.000000000
84.16666667,  0.000000000,  0.000000000
84.50000000,  0.000000000,  0.000000000
84.83333333,  0.000000000,  0.000000000
85.16666667,  0.000000000,  0.000000000
85.50000000,  0.000000000,  0.000000000
85.83333333,  0.000000000,  0.000000000
86.16666667,  0.000000000,  0.000000000
86.50000000,  0.000000000,  0.000000000
86.83333333,  0.000000000,  0.000000000
87.16666667,  0.000000000,  0.000000000
87.50000000,  0.000000000,  0.000000000
87.83333333,  0.000000000,  0.000000000
88.16666667,  0.000000000,  0.000000000
88.50000000,  0.000000000,  0.000000000
88.83333333,  0.0001507681290,  0.1507681290
89.16666667,  0.0002007662483,  0.3515343772
89.50000000,  2.892936987E-05,  0.3804637471
89.83333333,  0.0003226050074,  0.7030687545
90.16666667,  3.280904051E-05,  0.7358777950
90.50000000,  0.0006588403853,  1.394718180
90.83333333,  0.001199576805,  2.594294986
91.16666667,  0.002208311449,  4.802606435
91.50000000,  0.002832775053,  7.635381488
91.83333333,  0.007275935911,  14.91131740
92.16666667,  0.01076674609,  25.67806349
92.50000000,  0.02383568667,  49.51375015
92.83333333,  0.03948836086,  89.00211101
93.16666667,  0.06834838862,  157.3504996
93.50000000,  0.1119904784,  269.3409781
93.83333333,  0.1839726158,  453.3135938
94.16666667,  0.2995379092,  752.8515030
94.50000000,  0.4420991412,  1194.950644
94.83333333,  0.7113177908,  1906.268435
95.16666667,  1.114976375,  3021.244810
95.50000000,  1.655245715,  4676.490525
95.83333333,  2.432581119,  7109.071644
96.16666667,  3.515176650,  10624.24829
96.50000000,  5.040488885,  15664.73718
96.83333333,  7.082875964,  22747.61314
97.16666667,  9.865696395,  32613.30954
97.50000000,  13.38875074,  46002.06028
97.83333333,  17.83172174,  63833.78202
98.16666667,  23.26887488,  87102.65690
98.50000000,  29.99776000,  117100.4169
98.83333333,  37.81746924,  154917.8861
99.16666667,  46.82639267,  201744.2788
99.50000000,  57.18475692,  258929.0357
99.83333333,  68.56800989,  327497.0456
100.1666667,  80.99176749,  408488.8131
100.5000000,  94.25515093,  502743.9641
100.8333333,  107.8907832,  610634.7473
101.1666667,  121.9676229,  732602.3702
101.5000000,  135.2725420,  867874.9121
101.8333333,  148.0286269,  1015903.539
102.1666667,  158.9555446,  1174859.084
102.5000000,  167.5423639,  1342401.448
102.8333333,  172.5869125,  1514988.360
103.1666667,  173.4079571,  1688396.317
103.5000000,  169.3293987,  1857725.716
103.8333333,  161.8061101,  2019531.826
104.1666667,  150.9192873,  2170451.113
104.5000000,  137.4515332,  2307902.647
104.8333333,  122.6605123,  2430563.159
105.1666667,  107.2621236,  2537825.282
105.5000000,  91.57040303,  2629395.685
105.8333333,  77.24327115,  2706638.957
106.1666667,  63.97499696,  2770613.953
106.5000000,  51.97170965,  2822585.663
106.8333333,  41.85620291,  2864441.866
107.1666667,  33.41065016,  2897852.516
107.5000000,  25.99470078,  2923847.217
107.8333333,  20.00590370,  2943853.121
108.1666667,  15.37889096,  2959232.012
108.5000000,  11.58731963,  2970819.331
108.8333333,  8.599182461,  2979418.514
109.1666667,  6.235264188,  2985653.778
109.5000000,  4.503733033,  2990157.511
109.8333333,  3.175734091,  2993333.245
110.1666667,  2.222927614,  2995556.173
110.5000000,  1.554927992,  2997111.101
110.8333333,  1.039888776,  2998150.989
111.1666667,  0.6735076858,  2998824.497
111.5000000,  0.4319346576,  2999256.432
111.8333333,  0.2834735792,  2999539.905
112.1666667,  0.1721508077,  2999712.056
112.5000000,  0.1106824472,  2999822.739
112.8333333,  0.06360615308,  2999886.345
113.1666667,  0.04049245234,  2999926.837
113.5000000,  0.02897727856,  2999955.815
113.8333333,  0.02245249182,  2999978.267
114.1666667,  0.01031190636,  2999988.579
114.5000000,  0.006033003507,  2999994.612
114.8333333,  0.002650243314,  2999997.262
115.1666667,  0.001782047172,  2999999.044
115.5000000,  0.0009558051564,  3000000.000
115.8333333,  0.000000000,  3000000.000
116.1666667,  0.000000000,  3000000.000
116.5000000,  0.000000000,  3000000.000
116.8333333,  0.000000000,  3000000.000
117.1666667,  0.000000000,  3000000.000
117.5000000,  0.000000000,  3000000.000
117.8333333,  0.000000000,  3000000.000
118.1666667,  0.000000000,  3000000.000
118.5000000,  0.000000000,  3000000.000
118.8333333,  0.000000000,  3000000.000
119.1666667,  0.000000000,  3000000.000
119.5000000,  0.000000000,  3000000.000
119.8333333,  0.000000000,  3000000.000
