# Angle (degree),  Occurrence
70.25000000,  0.000000000
70.75000000,  0.000000000
71.25000000,  0.000000000
71.75000000,  0.000000000
72.25000000,  0.000000000
72.75000000,  0.000000000
73.25000000,  0.000000000
73.75000000,  0.000000000
74.25000000,  0.000000000
74.75000000,  0.000000000
75.25000000,  0.000000000
75.75000000,  0.000000000
76.25000000,  0.000000000
76.75000000,  0.000000000
77.25000000,  0.000000000
77.75000000,  0.000000000
78.25000000,  0.000000000
78.75000000,  0.000000000
79.25000000,  0.000000000
79.75000000,  0.000000000
80.25000000,  0.000000000
80.75000000,  0.0002783569766
81.25000000,  0.003832340284
81.75000000,  0.003278275965
82.25000000,  0.001282115065
82.75000000,  0.008222926484
83.25000000,  0.03110509451
83.75000000,  0.02043179871
84.25000000,  0.03654631261
84.75000000,  0.04890656838
85.25000000,  0.05779770399
85.75000000,  0.1060309908
86.25000000,  0.1636543750
86.75000000,  0.2414615989
87.25000000,  0.3346780683
87.75000000,  0.4835647578
88.25000000,  0.6919977058
88.75000000,  0.9500250286
89.25000000,  1.202895201
89.75000000,  1.813840393
90.25000000,  2.479575332
90.75000000,  3.221390898
91.25000000,  4.340483256
91.75000000,  5.815426836
92.25000000,  7.813448031
92.75000000,  10.25418044
93.25000000,  13.00182976
93.75000000,  16.66190474
94.25000000,  21.39411997
94.75000000,  27.41197594
95.25000000,  33.78975875
95.75000000,  41.82936132
96.25000000,  50.98661344
96.75000000,  62.11815019
97.25000000,  73.94935991
97.75000000,  88.41782638
98.25000000,  104.5859441
98.75000000,  122.4347162
99.25000000,  143.3292816
99.75000000,  163.5799697
100.2500000,  187.1165394
100.7500000,  210.1354960
101.2500000,  236.8616866
101.7500000,  263.8084686
102.2500000,  289.6095205
102.7500000,  314.4485304
103.2500000,  340.2023174
103.7500000,  365.0717629
104.2500000,  388.6252552
104.7500000,  407.4674232
105.2500000,  423.7279358
105.7500000,  437.8672363
106.2500000,  447.0834735
106.7500000,  455.0177448
107.2500000,  456.3027985
107.7500000,  454.0912427
108.2500000,  449.2613342
108.7500000,  437.2185132
109.2500000,  424.2600036
109.7500000,  406.9509535
110.2500000,  386.8285056
110.7500000,  366.7784987
111.2500000,  340.8582210
111.7500000,  315.7804028
112.2500000,  291.2123066
112.7500000,  264.1195024
113.2500000,  236.9877282
113.7500000,  211.3362694
114.2500000,  187.9057164
114.7500000,  164.1527704
115.2500000,  143.5317396
115.7500000,  122.0120021
116.2500000,  105.5941280
116.7500000,  89.21564853
117.2500000,  74.19564688
117.7500000,  61.76072673
118.2500000,  50.52186995
118.7500000,  40.49854913
119.2500000,  32.96389494
119.7500000,  26.84463422
120.2500000,  20.81407945
120.7500000,  16.54142336
121.2500000,  12.57876461
121.7500000,  9.563018239
122.2500000,  7.524625208
122.7500000,  5.880455005
123.2500000,  4.230004569
123.7500000,  3.166566998
124.2500000,  2.243100545
124.7500000,  1.669602555
125.2500000,  1.249631422
125.7500000,  0.8486585483
126.2500000,  0.5665678752
126.7500000,  0.4034959930
127.2500000,  0.3233061426
127.7500000,  0.2066814472
128.2500000,  0.1640772065
128.7500000,  0.08138813560
129.2500000,  0.06413832895
129.7500000,  0.03826983930
