# Angle (degree),  Occurrence
70.25000000,  0.000000000
70.75000000,  0.000000000
71.25000000,  0.000000000
71.75000000,  0.000000000
72.25000000,  0.000000000
72.75000000,  0.000000000
73.25000000,  0.000000000
73.75000000,  0.000000000
74.25000000,  0.000000000
74.75000000,  0.000000000
75.25000000,  0.000000000
75.75000000,  0.000000000
76.25000000,  0.000000000
76.75000000,  0.000000000
77.25000000,  0.000000000
77.75000000,  0.000000000
78.25000000,  0.000000000
78.75000000,  0.000000000
79.25000000,  0.000000000
79.75000000,  0.000000000
80.25000000,  0.000000000
80.75000000,  0.000000000
81.25000000,  0.000000000
81.75000000,  0.000000000
82.25000000,  0.002215879699
82.75000000,  0.003319337906
83.25000000,  0.01295300459
83.75000000,  0.005785852169
84.25000000,  0.01628120991
84.75000000,  0.01828780750
85.25000000,  0.02171431724
85.75000000,  0.03934521125
86.25000000,  0.07519364590
86.75000000,  0.1007705022
87.25000000,  0.1691257304
87.75000000,  0.2652115298
88.25000000,  0.3481799582
88.75000000,  0.4890724236
89.25000000,  0.7401923794
89.75000000,  1.017786515
90.25000000,  1.357146504
90.75000000,  1.933935390
91.25000000,  2.745089475
91.75000000,  3.607514352
92.25000000,  4.898636804
92.75000000,  6.573070296
93.25000000,  8.592760020
93.75000000,  11.34737238
94.25000000,  14.41026831
94.75000000,  18.65659127
95.25000000,  23.42486102
95.75000000,  30.02099815
96.25000000,  36.81834057
96.75000000,  45.56459000
97.25000000,  56.24543570
97.75000000,  68.36542979
98.25000000,  82.10518856
98.75000000,  96.60960550
99.25000000,  113.7005252
99.75000000,  133.1930872
100.2500000,  155.1747929
100.7500000,  177.7170217
101.2500000,  202.3578801
101.7500000,  228.5472755
102.2500000,  255.1252759
102.7500000,  282.3282104
103.2500000,  306.7579705
103.7500000,  334.1267171
104.2500000,  359.8789472
104.7500000,  384.7231923
105.2500000,  404.7847899
105.7500000,  423.9289165
106.2500000,  440.6921909
106.7500000,  452.7272462
107.2500000,  458.9428513
107.7500000,  461.7357864
108.2500000,  458.6857375
108.7500000,  455.2963751
109.2500000,  447.6905510
109.7500000,  433.1431629
110.2500000,  417.5800023
110.7500000,  398.3620891
111.2500000,  374.4478063
111.7500000,  350.2159667
112.2500000,  324.3918467
112.7500000,  298.8852314
113.2500000,  270.9933421
113.7500000,  245.3193706
114.2500000,  217.9725270
114.7500000,  192.0016408
115.2500000,  168.3442460
115.7500000,  146.9525324
116.2500000,  126.4288533
116.7500000,  107.4244405
117.2500000,  90.44742910
117.7500000,  75.58485808
118.2500000,  63.24123227
118.7500000,  51.48679490
119.2500000,  41.84062729
119.7500000,  33.33604032
120.2500000,  26.75406867
120.7500000,  21.27358227
121.2500000,  16.64984551
121.7500000,  13.06144654
122.2500000,  10.31217217
122.7500000,  7.782526851
123.2500000,  5.820983016
123.7500000,  4.342962463
124.2500000,  3.129875729
124.7500000,  2.258326259
125.2500000,  1.590047316
125.7500000,  1.201290736
126.2500000,  0.8821758637
126.7500000,  0.6118549878
127.2500000,  0.4361187768
127.7500000,  0.2862908152
128.2500000,  0.2029267971
128.7500000,  0.1604263297
129.2500000,  0.08619802319
129.7500000,  0.03923054656
