Temp,Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
145.868,-9.86947,1.42499,-8.44448,32148.4,-36626.4,-2413.43
148.011,-9.79568,1.43453,-8.36115,32132.2,-35926.7,-1699.61
149.524,-9.85618,1.44272,-8.41346,32363.4,-34581.5,-101.822
148.234,-9.77039,1.38649,-8.3839,30812.9,-34311,-1400.06
149.348,-9.76722,1.33261,-8.43461,30146.8,-31041.1,1219.51
151.298,-9.91816,1.46193,-8.45623,29562.9,-35914.2,-4209.88
149.434,-9.85222,1.43764,-8.41458,30404,-33729.2,-1210.25
144.034,-9.83023,1.46271,-8.36751,30956,-35996.1,-3001.5
146.793,-9.79856,1.45703,-8.34153,31694.2,-34040,-268.203
147.391,-9.78034,1.4266,-8.35374,30112.7,-32869.3,-670.504
148.78,-9.76041,1.43419,-8.32621,30632.9,-35287.2,-2548.54
150.391,-9.8192,1.4102,-8.40901,30644,-34717.7,-1945.18
152.278,-9.81468,1.41979,-8.39489,30648.5,-33580.5,-776.826
146.976,-9.84557,1.41201,-8.43356,31157.4,-35067.6,-1830
147.315,-9.77839,1.42529,-8.3531,31649,-32693.6,1040.49
148.044,-9.90666,1.38383,-8.52283,31385,-34016.1,-535.728
148.632,-9.86578,1.45304,-8.41274,31254.2,-33832.8,-474.952
149.137,-9.89878,1.4298,-8.46898,30915.6,-34788.8,-1762.37
151.599,-9.93695,1.46932,-8.46763,32124.2,-36467.3,-2197.41
149.829,-9.88114,1.46438,-8.41676,31443.5,-35706.4,-2142.32
148.323,-9.85571,1.46148,-8.39422,31360,-36178.2,-2718.89
148.488,-9.8054,1.38525,-8.42014,30043.4,-34480,-2334.93
149.48,-9.75346,1.36767,-8.3858,29847.2,-34345.6,-2382.79
148.656,-9.84107,1.36967,-8.4714,30623,-35071.4,-2344.47
148.214,-9.88606,1.41862,-8.46744,31859.5,-35345.8,-1388.57
149.692,-9.79431,1.45641,-8.3379,33045.8,-35842.9,-678.49
149.429,-9.74527,1.35001,-8.39526,32388.7,-33975.9,527.724
150.099,-9.83681,1.41036,-8.42644,30854.8,-34952.1,-1972.81
148.688,-9.81342,1.44351,-8.36991,31232.4,-32773.1,563.726
148.584,-9.86822,1.45502,-8.4132,31070.8,-36987.5,-3813.66
150.82,-9.98944,1.43964,-8.5498,31338,-33986.6,-513.987
149.096,-9.92947,1.4366,-8.49288,32157.1,-36441,-2173.66
148.386,-9.81032,1.37637,-8.43395,32405.9,-33166.3,1339.8
148.993,-9.79579,1.39294,-8.40286,31192.1,-34070.1,-769.28
148.003,-9.79623,1.40292,-8.3933,31367.1,-33455.8,6.0718
146.74,-9.92549,1.40094,-8.52454,30838,-33334.9,-420.07
152.24,-9.77425,1.41946,-8.35479,31084.7,-35917.9,-2678.41
148.237,-9.84364,1.42003,-8.42361,30818.6,-33412.4,-495.747
150.219,-9.81426,1.39866,-8.4156,31659,-31120.7,2664.4
149.197,-9.84613,1.36471,-8.48142,30436,-35006,-2458.36
150.889,-9.83775,1.41761,-8.42014,30695.1,-36257,-3426.35
150.962,-9.93523,1.43589,-8.49934,31237,-36911,-3537.36
149.75,-9.748,1.31372,-8.43428,31995.4,-31428.1,2686.8
150.499,-9.85451,1.33854,-8.51597,30570.1,-34853.8,-2153.64
150.543,-9.81256,1.44021,-8.37235,31083.9,-35811.2,-2596.65
148.704,-9.73823,1.34718,-8.39105,29886.2,-32873.3,-882.409
146.625,-9.7844,1.44033,-8.34406,30202.8,-33929.3,-1651.23
148.33,-9.75277,1.40537,-8.34741,29834.6,-33349.9,-1415.9
149.595,-9.79174,1.46879,-8.32294,29788.3,-32885.3,-979.715
149.786,-9.85207,1.44751,-8.40456,30068.8,-36124.4,-3935.6
149.291,-9.85495,1.40121,-8.45374,30730.7,-34452.1,-1608.37
149.492,-9.8151,1.39448,-8.42062,30108.4,-33014.9,-790.601
149.859,-9.86266,1.43586,-8.4268,30220,-34409.2,-2068.19
148.759,-9.70102,1.37537,-8.32565,30453.1,-32755.5,-196.931
151.101,-9.73392,1.41705,-8.31687,29430.4,-33256.4,-1687.44
148.252,-9.73704,1.41038,-8.32666,29051.1,-34247,-3097.65
147.423,-9.8078,1.4284,-8.3794,29072,-35020.3,-3861.67
150.537,-9.79157,1.42005,-8.37152,29924.4,-35970.2,-3915.18
151.42,-9.73502,1.46125,-8.27377,29163,-34338.7,-3032.59
148.647,-9.77036,1.44704,-8.32332,30184.9,-34732.4,-2443.62
150.372,-9.69523,1.3295,-8.36573,28173.1,-32915.3,-2613.91
152.273,-9.73026,1.42485,-8.3054,30109.4,-33453.8,-1189.2
150.429,-9.81467,1.40246,-8.4122,29570.6,-33354.2,-1654.5
150.543,-9.84714,1.42229,-8.42485,30912.5,-36658.9,-3615.68
149.605,-9.79302,1.43136,-8.36166,30826.2,-35767.8,-2824.18
146.633,-9.8744,1.47573,-8.39867,29534.8,-36115.6,-4505.35
148.057,-9.81971,1.42075,-8.39895,30954.9,-33083.2,-32.7802
148.796,-9.88259,1.39262,-8.48997,30465.7,-32970.9,-399.239
145.688,-9.7261,1.40746,-8.31864,30549.1,-34240.3,-1629.22
150.842,-9.79289,1.42103,-8.37187,29733.6,-35369.9,-3501.31
149.295,-9.73964,1.4602,-8.27943,30756.3,-35485.9,-2616.52
146.811,-9.63792,1.33597,-8.30195,30108.5,-32195,-8.59666
147.577,-9.73612,1.4569,-8.27922,29254.6,-35394.3,-4051.01
149.102,-9.59063,1.32136,-8.26927,29543.1,-32257.1,-603.655
150.823,-9.77607,1.35007,-8.426,28255.2,-31855.5,-1465.71
148.762,-9.79427,1.39955,-8.39473,29063,-34917.6,-3749.09
148.186,-9.7155,1.32532,-8.39018,29606.1,-31580,123.381
149.517,-9.722,1.40273,-8.31927,29608.7,-33576.8,-1851.93
149.828,-9.82044,1.4514,-8.36904,29963.8,-34943.6,-2859.2
148.608,-9.81572,1.36665,-8.44907,30484.4,-32231.1,356.649
147.43,-9.74889,1.44713,-8.30176,30943.9,-34052.1,-1021.53
149.187,-9.70702,1.3347,-8.37232,31251.2,-31919.9,1442.82
150.125,-9.81193,1.44712,-8.36482,30532.5,-34611.9,-1954.66
148.992,-9.70567,1.29571,-8.40996,28423.8,-32300.2,-1767.63
146.446,-9.76034,1.41789,-8.34245,29773.1,-32682.1,-836.307
148.623,-9.70268,1.34454,-8.35814,30246.5,-33114.8,-764.737
146.003,-9.73775,1.35932,-8.37843,29610.9,-33671.1,-1993.68
151.508,-9.75063,1.38007,-8.37055,29976.7,-33153.3,-1032.19
148.831,-9.69974,1.35829,-8.34145,31382.9,-34358.1,-868.735
147.635,-9.70609,1.36944,-8.33664,31152.6,-31478.3,1763.89
148.418,-9.79197,1.40675,-8.38522,32030.3,-35128.9,-997.942
150.671,-9.78463,1.35632,-8.42832,30900.9,-33170.5,-137.128
147.794,-9.78258,1.35777,-8.42481,30889.3,-32357.5,623.628
147.412,-9.69908,1.30151,-8.39757,29543.3,-31256.4,373.306
151.38,-9.80724,1.2813,-8.52595,30504.2,-32186.2,460.594
151.101,-9.89186,1.41236,-8.4795,31210.6,-33361.3,-12.1144
151.176,-9.85823,1.43665,-8.42157,30935.8,-35751,-2675.6
149.752,-9.81235,1.42799,-8.38436,30475.4,-34904.4,-2309.42
148.058,-9.80035,1.41322,-8.38714,30145.4,-34879.5,-2638.54
150.34,-9.80202,1.40069,-8.40133,29882.5,-30604.5,1405.8
149.448,-9.79096,1.40279,-8.38817,30550.2,-34738.7,-2073.32
150.22,-9.8199,1.42594,-8.39396,30487.3,-33850.7,-1237.23
147.84,-9.77848,1.41916,-8.35932,30250.5,-34236.7,-1893.77
148.779,-9.78441,1.41706,-8.36734,31044.7,-34508.6,-1358.18
149.406,-9.81826,1.35041,-8.46785,30403.4,-35670.9,-3152.93
145.457,-9.77869,1.33131,-8.44738,30289.9,-33048,-699.449
148.983,-9.76464,1.416,-8.34863,31320.1,-33150.6,278.185
148.28,-9.79595,1.44913,-8.34681,30036.2,-34143.7,-2008.75
149.895,-9.72032,1.41446,-8.30586,31345.5,-34634.7,-1167.7
149.624,-9.64213,1.36007,-8.28206,30975.9,-33517.8,-424.182
149.559,-9.79523,1.43126,-8.36398,30403.3,-34644.3,-2124.19
148.222,-9.74401,1.39968,-8.34433,30478.9,-34547.5,-1970.73
148.685,-9.69658,1.42117,-8.2754,30617.3,-34971.5,-2249.83
147.901,-9.63632,1.32181,-8.3145,30481,-31433.4,1140.94
148.781,-9.75927,1.36707,-8.3922,30768.3,-33403.5,-529.417
148.901,-9.75169,1.44511,-8.30658,31155.2,-35084.7,-1821.98
148.249,-9.72608,1.40624,-8.31985,31128.8,-35343.3,-2116.21
148.45,-9.76283,1.35602,-8.40681,30423.8,-33962.6,-1437.67
148.432,-9.8037,1.38686,-8.41684,29536.9,-32394.3,-756.51
148.55,-9.82501,1.37466,-8.45035,29368.7,-34124.3,-2653.13
150.099,-9.79608,1.39038,-8.4057,30399.3,-32774.4,-250.677
149.762,-9.78199,1.35455,-8.42744,29992.4,-35173,-3060.94
147.776,-9.76672,1.4131,-8.35361,31788.5,-34404.3,-524.267
