Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
-9.66621,1.2079,-8.45831,32331.3,-27293.9,7097.35
-9.6077,1.24167,-8.36602,32048.4,-28068.1,6081.32
-9.70829,1.27425,-8.43403,30906.3,-28750.2,4247.2
-9.69137,1.2719,-8.41946,30573.8,-27426.2,5241.77
-9.68992,1.24361,-8.4463,30176.9,-28044.4,4247.57
-9.72815,1.25365,-8.4745,30301.4,-27859.6,4551.18
-9.58639,1.1929,-8.39348,31200.8,-26238.9,7062.35
-9.64248,1.19566,-8.44682,29450.4,-26424.6,5120.08
-9.5684,1.24546,-8.32294,30237.9,-27895.6,4423.66
-9.59549,1.24307,-8.35242,32118.2,-28159.9,6042.31
-9.67334,1.28966,-8.38369,31100.2,-28397,4767.83
-9.6433,1.27788,-8.36541,31129.7,-30123.3,3105.52
-9.61599,1.27495,-8.34104,30638,-25923.9,6812.67
-9.66635,1.26101,-8.40534,30390.4,-28140.7,4336.5
-9.75404,1.28272,-8.47132,30997.4,-30145.2,2955.61
-9.67642,1.26334,-8.41308,31279.8,-27572.5,5759.59
-9.64619,1.26476,-8.38142,29907.9,-28569.9,3430.97
-9.6579,1.25177,-8.40613,30507.9,-26716.1,5886.07
-9.72618,1.30253,-8.42365,32170.3,-30957.5,3328.92
-9.65849,1.24319,-8.41529,31164.7,-27642.7,5595.8
-9.69631,1.29838,-8.39793,31370.9,-28141.8,5320.16
-9.76386,1.30353,-8.46034,31656.6,-31279.4,2472.61
-9.63972,1.23276,-8.40696,30064.4,-27570.3,4601.54
-9.65718,1.22835,-8.42883,31561.1,-28774.7,4876.14
-9.66133,1.24749,-8.41384,30644.3,-28356.1,4364.71
-9.6697,1.28811,-8.3816,30748.4,-27845,5014.4
-9.65429,1.25887,-8.39542,30548.1,-28794.7,3890.1
-9.5821,1.19276,-8.38934,31100.2,-27658.5,5592.69
-9.65016,1.29455,-8.35561,30667.3,-28634.9,4143.95
-9.63889,1.27012,-8.36877,30637.9,-28078.6,4660.81
-9.63321,1.3028,-8.3304,29501.3,-28170,3412.95
-9.58654,1.28355,-8.30299,30181,-26909.5,5347.06
-9.62815,1.18841,-8.43974,29191.6,-26865.5,4397.35
-9.63245,1.24427,-8.38818,29821.1,-29500.4,2418.28
-9.57542,1.28361,-8.2918,29716.8,-27754.5,4065.03
-9.65341,1.21091,-8.4425,29599.1,-28864.9,2834.36
-9.54034,1.21879,-8.32155,29622.8,-25924,5832.51
-9.61325,1.24523,-8.36802,28743.9,-27219.8,3625.83
-9.5051,1.20948,-8.29562,28631,-25682.9,5026.23
-9.54299,1.24076,-8.30223,28636.3,-26115.5,4632.85
-9.55024,1.25303,-8.29721,29080.3,-28389.9,2803.23
-9.64519,1.30014,-8.34505,28679.9,-28988.9,1786.92
-9.59542,1.21508,-8.38035,28136.6,-27315.1,2925.19
-9.63372,1.18051,-8.45321,29463.4,-28491.6,3066.79
-9.54083,1.2033,-8.33753,30040.8,-27375.6,4777.67
-9.58329,1.24176,-8.34153,30009.6,-27729.7,4357.72
-9.68262,1.26566,-8.41696,29263.4,-28101.6,3242.37
-9.61894,1.21126,-8.40769,29222.4,-28945.6,2393.61
-9.56781,1.25414,-8.31367,29831.5,-26931.6,4987.88
-9.67962,1.37294,-8.30668,29830.2,-30360,1550.3
-9.5862,1.28211,-8.30409,29898.2,-29045,2929.89
-9.62443,1.2689,-8.35553,30002.3,-28660.6,3470.35
-9.53479,1.2071,-8.32769,28454.9,-25466.9,5076.73
-9.45278,1.20732,-8.24547,28910.6,-24234.1,6734.92
-9.47288,1.19779,-8.27508,28720,-27843.9,2983
-9.49825,1.23827,-8.25997,29352.2,-27489.4,3936.42
-9.58659,1.26151,-8.32508,28279.7,-26206.1,4169.21
-9.5912,1.25201,-8.33919,29599.4,-27886.5,3826.56
-9.64178,1.33797,-8.30381,29231.7,-28112.2,3271.3
-9.63646,1.32336,-8.3131,29814.5,-27873.3,4052.06
-9.59292,1.26755,-8.32537,29504.7,-29785.1,1814.17
-9.60545,1.2623,-8.34315,29746.5,-27890.6,4011.6
-9.57336,1.27873,-8.29463,30291.8,-29361.5,3004.65
-9.56175,1.1682,-8.39355,30323.6,-25668.8,6772.88
-9.57803,1.22705,-8.35098,29341.1,-27790.9,3628.87
-9.54271,1.29315,-8.24957,29477.2,-28395,3178.05
-9.59141,1.22786,-8.36355,28828.5,-27477.4,3410.91
-9.65474,1.20176,-8.45298,29710.9,-28232.3,3553.71
-9.5698,1.17918,-8.39062,30577.9,-28526.3,4148.32
-9.63849,1.21463,-8.42386,29763.6,-28441.6,3446.64
-9.72387,1.28876,-8.43511,30490.2,-29722.8,2841.75
-9.56939,1.17238,-8.39701,29214.1,-28468.1,2835.02
-9.59584,1.21426,-8.38158,30097.9,-26836.3,5340.09
-9.63074,1.26308,-8.36766,30035.7,-26777,5358.55
-9.61229,1.21843,-8.39385,29590.9,-27845.2,3852.44
-9.63905,1.27151,-8.36753,29446.8,-27610.8,3940.74
-9.63557,1.24859,-8.38699,29756.8,-27912.2,3917.67
-9.60853,1.2419,-8.36662,30666.8,-28619.8,4131.88
-9.50173,1.19714,-8.30459,29656.8,-27171.3,4602.33
-9.63296,1.26172,-8.37124,29599.7,-28453.8,3264.62
-9.58134,1.2693,-8.31204,29840.3,-28853.7,3082.51
-9.60456,1.2657,-8.33886,30377.1,-28953,3489.02
